occ_code,task,penetration
49-3022.00,Prime all scratches on pinchwelds with primer and allow to dry.,0.0
49-3022.00,"Remove all dirt, foreign matter, and loose glass from damaged areas, apply primer along windshield or window edges, and allow primer to dry.",0.0
49-3022.00,"Allow all glass parts installed with urethane ample time to cure, taking temperature and humidity into account.",0.0
49-3022.00,Apply a bead of urethane around the perimeter of each pinchweld and dress the remaining urethane on the pinchwelds so that it is of uniform level and thickness.,0.0
49-3022.00,"Select appropriate tools, safety equipment, and parts, according to job requirements.",0.0
49-3023.01,"Test drive vehicles and test components and systems, using equipment such as infrared engine analyzers, compression gauges, and computerized diagnostic devices.",0.0
49-3023.01,"Repair, reline, replace, and adjust brakes.",0.0
49-3023.01,"Follow checklists to ensure all important parts are examined, including belts, hoses, steering systems, spark plugs, brake and fuel systems, wheel bearings, and other potentially troublesome areas.",0.0
49-3023.01,Confer with customers to obtain descriptions of vehicle problems and to discuss work to be performed and future repair requirements.,0.0
49-3023.01,"Perform routine and scheduled maintenance services, such as oil changes, lubrications, and tune-ups.",0.0
49-3021.00,Replace damaged glass on vehicles.,0.0
49-3021.00,"Measure and mark vinyl material and cut material to size for roof installation, using rules, straightedges, and hand shears.",0.0
49-3021.00,Read specifications or confer with customers to determine the desired custom modifications for altering the appearance of vehicles.,0.0
49-3011.00,"Inventory and requisition or order supplies, parts, materials, and equipment.",0.0
49-3011.00,"Clean, strip, prime, and sand structural surfaces and materials to prepare them for bonding.",0.0
49-3011.00,"Communicate with other workers to coordinate fitting and alignment of heavy parts, or to facilitate processing of repair parts.",0.0
49-3011.00,"Examine engines through specially designed openings while working from ladders or scaffolds, or use hoists or lifts to remove the entire engine from an aircraft.",0.0
49-3011.00,"Check for corrosion, distortion, and invisible cracks in the fuselage, wings, and tail, using x-ray and magnetic inspection equipment.",0.0
49-3041.00,Drive trucks to haul tools and equipment for on-site repair of large machinery.,0.0
49-3031.00,Follow green operational practices involving conservation of water or energy or reduction of solid waste.,0.0
49-3031.00,Adjust or repair computer controlled exhaust emissions devices.,0.0
49-3031.00,Measure vehicle emissions to determine whether they are within acceptable limits.,0.0
49-3031.00,"Maintain or repair vehicles with alternative fuel systems, including biodiesel, hybrid, or compressed natural gas vehicles.",0.0
49-3031.00,Operate valve-grinding machines to grind and reset valves.,0.0
49-3041.00,Record details of repairs made and parts used.,0.0
49-3041.00,"Maintain, repair, and overhaul farm machinery and vehicles, such as tractors, harvesters, and irrigation systems.",0.0
49-3041.00,"Examine and listen to equipment, read inspection reports, and confer with customers to locate and diagnose malfunctions.",0.0
49-3041.00,"Dismantle defective machines for repair, using hand tools.",0.0
49-3023.02,"Conduct visual inspections of compressed natural gas fuel systems to identify cracks, gouges, abrasions, discoloration, broken fibers, loose brackets, damaged gaskets, or other problems.",0.0
49-3023.02,Inspect vehicles for damage and record findings so that necessary repairs can be made.,0.0
49-3023.02,Estimate costs of vehicle repair.,0.0
49-3023.02,"Troubleshoot fuel, ignition, and emissions control systems, using electronic testing equipment.",0.0
49-3023.02,Test electronic computer components in automobiles to ensure proper operation.,0.0
49-9043.00,"Replace, empty, or replenish machine and equipment containers such as gas tanks or boxes.",0.0
49-9045.00,"Disassemble molds, and cut, chip, and smooth clay structures such as floaters, drawbars, and L-blocks.",0.0
49-9045.00,"Transfer clay structures to curing ovens, melting tanks, and drawing kilns, using forklifts.",0.0
49-9045.00,"Install preformed metal scaffolding in interiors of cupolas, using hand tools.",0.0
49-9045.00,"Install clay structures in melting tanks and drawing kilns to control the flow and temperature of molten glass, using hoists and hand tools.",0.0
49-9051.00,"Adhere to safety practices and procedures, such as checking equipment regularly and erecting barriers around work areas.",0.0
49-9051.00,"Test conductors, according to electrical diagrams and specifications, to identify corresponding conductors and to prevent incorrect connections.",0.0
49-9051.00,Open switches or attach grounding devices to remove electrical hazards from disturbed or fallen lines or to facilitate repairs.,0.0
49-9051.00,Climb poles or use truck-mounted buckets to access equipment.,0.0
49-9051.00,Drive vehicles equipped with tools and materials to job sites.,0.0
49-9052.00,"Set up service for customers, installing, connecting, testing, or adjusting equipment.",0.0
49-9052.00,"Travel to customers' premises to install, maintain, or repair audio and visual electronic reception equipment or accessories.",0.0
49-9045.00,"Dump and tamp clay in molds, using tamping tools.",0.0
49-9044.00,"Weld, repair, and fabricate equipment or machinery.",0.0
49-9043.00,"Remove hardened material from machines or machine parts, using abrasives, power and hand tools, jackhammers, sledgehammers, or other equipment.",0.0
49-9043.00,"Measure, mix, prepare, and test chemical solutions used to clean or repair machinery and equipment.",0.0
49-9044.00,"Insert shims, adjust tension on nuts and bolts, or position parts, using hand tools and measuring instruments, to set specified clearances between moving and stationary parts.",0.0
49-9044.00,"Assemble and install equipment, using hand tools and power tools.",0.0
49-9044.00,"Lay out mounting holes, using measuring instruments, and drill holes with power drill.",0.0
49-9044.00,"Signal crane operator to lower basic assembly units to bedplate, and align unit to centerline.",0.0
49-9052.00,"Measure signal strength at utility poles, using electronic test equipment.",0.0
49-9052.00,"Inspect or test lines or cables, recording and analyzing test results, to assess transmission characteristics and locate faults or malfunctions.",0.0
49-9052.00,"Splice cables, using hand tools, epoxy, or mechanical equipment.",0.0
49-9063.00,"Inspect instruments to locate defects, and to determine their value or the level of restoration required.",0.0
49-9062.00,"Solder loose connections, using soldering iron.",0.0
49-9062.00,Explain or demonstrate correct operation or preventive maintenance of medical equipment to personnel.,0.0
49-9062.00,Contribute expertise to develop medical maintenance standard operating procedures.,0.0
49-9062.00,"Evaluate technical specifications to identify equipment or systems best suited for intended use and possible purchase, based on specifications, user needs, or technical requirements.",0.0
49-9062.00,Study technical manuals or attend training sessions provided by equipment manufacturers to maintain current knowledge.,0.0
49-9063.00,Play instruments to evaluate their sound quality and to locate any defects.,0.0
49-9063.00,"Adjust string tensions to tune instruments, using hand tools and electronic tuning devices.",0.0
49-9063.00,Disassemble instruments and parts for repair and adjustment.,0.0
49-9063.00,"Repair cracks in wood or metal instruments, using pinning wire, lathes, fillers, clamps, or soldering irons.",0.0
49-9061.00,Requisition parts or materials.,0.0
49-9061.00,"Adjust cameras, photographic mechanisms, or equipment such as range and view finders, shutters, light meters, or lens systems, using hand tools.",0.0
49-9061.00,"Disassemble equipment to gain access to defect, using hand tools.",0.0
49-9061.00,"Test equipment performance, focus of lens system, diaphragm alignment, lens mounts, or film transport, using precision gauges.",0.0
49-9043.00,"Replace or repair metal, wood, leather, glass, or other lining in machines, or in equipment compartments or containers.",0.0
49-9043.00,"Transport machine parts, tools, equipment, and other material between work areas and storage, using cranes, hoists, or dollies.",0.0
49-9012.00,"Clean internal compartments and moving parts, using rags and cleaning compounds.",0.0
49-9012.00,"Repair electric meters and components, such as transformers and relays, and replace metering devices, dial glasses, and faulty or incorrect wiring, using hand tools.",0.0
49-9012.00,"Recondition displacement type gas meters and governors, fabricating, machining, or modifying parts needed for repairs.",0.0
49-9012.00,"Cut seats to receive new orifices, tap inspection ports, and perform other repairs to salvage usable materials, using hand tools and machine tools.",0.0
49-9012.00,"Reassemble repaired equipment, and solder top, front, and back case panels in place, using soldering guns, power tools, and hand tools.",0.0
49-9021.01,"Test electrical circuits or components for continuity, using electrical test equipment.",0.0
49-9021.01,"Repair or replace defective equipment, components, or wiring.",0.0
49-9021.01,Discuss heating or cooling system malfunctions with users to isolate problems or to verify that repairs corrected malfunctions.,0.0
49-9021.01,"Install, connect, or adjust thermostats, humidistats, or timers.",0.0
49-9021.02,Braze or solder parts to repair defective joints and leaks.,0.0
49-9021.02,Perform mechanical overhauls and refrigerant reclaiming.,0.0
49-9021.02,Keep records of repairs and replacements made and causes of malfunctions.,0.0
49-9021.02,"Install expansion and control valves, using acetylene torches and wrenches.",0.0
49-9041.00,Record repairs and maintenance performed.,0.0
49-9031.00,"Measure, cut, and thread pipe, and connect it to feeder lines and equipment or appliances, using rules and hand tools.",0.0
49-9031.00,"Take measurements to determine if appliances will fit in installation locations, performing minor carpentry work when necessary to ensure proper installation.",0.0
49-9031.00,"Hang steel supports from beams or joists to hold hoses, vents, and gas pipes in place.",0.0
49-9031.00,"Disassemble and reinstall existing kitchen cabinets, or assemble and install prefabricated kitchen cabinets and trim in conjunction with appliance installation.",0.0
49-9041.00,Repair or maintain the operating condition of industrial production or processing machinery or equipment.,0.0
49-9041.00,Repair or replace broken or malfunctioning components of machinery or equipment.,0.0
49-9041.00,Disassemble machinery or equipment to remove parts and make repairs.,0.0
49-9031.00,"Light and adjust pilot lights on gas stoves, and examine valves and burners for gas leakage and specified flame.",0.0
49-9021.02,"Mount compressor, condenser, and other components in specified locations on frames, using hand tools and acetylene welding equipment.",0.0
51-6011.00,"Dye articles to change or restore their colors, using knowledge of textile compositions and the properties and effects of bleaches and dyes.",0.0
47-5012.00,Position and prepare truck-mounted derricks at drilling areas specified on field maps.,0.0
47-5021.00,"Pour water into wells, or pump water or slush into wells to cool drill bits and to remove drillings.",0.0
47-5021.00,"Operate water-well drilling rigs and other equipment to drill, bore, and dig for water wells or for environmental assessment purposes.",0.0
47-5021.00,Perform pumping tests to assess well performance.,0.0
47-5021.00,Document geological formations encountered during work.,0.0
47-5021.00,"Withdraw drill rods from holes, and extract core samples.",0.0
47-5031.00,Examine blast areas to determine amounts and kinds of explosive charges needed and to ensure that safety laws are observed.,0.0
47-5031.00,Tie specified lengths of delaying fuses into patterns in order to time sequences of explosions.,0.0
47-5031.00,"Place safety cones around blast areas to alert other workers of danger zones, and signal workers as necessary to ensure that they clear blast sites prior to explosions.",0.0
47-5031.00,"Place explosive charges in holes or other spots; then detonate explosives to demolish structures or to loosen, remove, or displace earth, rock, or other materials.",0.0
47-5031.00,"Insert, pack, and pour explosives, such as dynamite, ammonium nitrate, black powder, or slurries into blast holes; then shovel drill cuttings, admit water into boreholes, and tamp material to compact charges.",0.0
47-5013.00,Close and seal wells no longer in use.,0.0
47-5012.00,Lower and explode charges in boreholes to start flow of oil from wells.,0.0
47-5012.00,"Dig holes, set forms, and mix and pour concrete, for foundations of steel or wooden derricks.",0.0
47-5013.00,Maintain and perform safety inspections on equipment and tools.,0.0
47-5013.00,Operate controls that raise derricks or level rigs.,0.0
47-5013.00,"Listen to engines, rotary chains, or other equipment to detect faulty operations or unusual well conditions.",0.0
47-5013.00,"Prepare reports of services rendered, tools used, or time required, for billing purposes.",0.0
47-5071.00,"Dig holes, set forms, and mix and pour concrete into forms to make foundations for wood or steel derricks.",0.0
47-5061.00,Rotate chucks to turn bolts and open expansion heads against rock formations.,0.0
47-5061.00,"Tighten ends of anchored truss bolts, using turnbuckles.",0.0
47-5071.00,Keep pipe deck and main deck areas clean and tidy.,0.0
47-5071.00,"Unscrew or tighten pipes, casing, tubing, and pump rods, using hand and power wrenches and tongs.",0.0
47-5071.00,"Walk flow lines to locate leaks, using electronic detectors and by making visual inspections, and repair the leaks.",0.0
47-5071.00,"Move pipes to and from trucks, using truck winches and motorized lifts, or by hand.",0.0
47-5081.00,"Repair and maintain automotive and drilling equipment, using hand tools.",0.0
47-5061.00,Position safety jacks to support underground mine roofs until bolts can be installed.,0.0
47-5081.00,Observe and monitor equipment operation during the extraction process to detect any problems.,0.0
47-5081.00,Drive moving equipment to transport materials and parts to excavation sites.,0.0
47-5081.00,Clean up work areas and remove debris after extraction activities are complete.,0.0
47-5081.00,Organize materials to prepare for use.,0.0
49-1011.00,"Determine schedules, sequences, and assignments for work activities, based on work priority, quantity of equipment, and skill of personnel.",0.0
47-5061.00,"Position bolting machines, and insert drill bits into chucks.",0.0
47-5061.00,"Force bolts into holes, using hydraulic mechanisms of self-propelled bolting machines.",0.0
47-5041.00,Move levers to raise and lower hydraulic safety bars supporting roofs above machines until other workers complete framing.,0.0
47-5041.00,Operate mining machines to gather coal and convey it to floors or shuttle cars.,0.0
47-5041.00,"Determine locations, boundaries, and depths of holes or channels to be cut.",0.0
47-5041.00,Reposition machines to make additional holes or cuts.,0.0
47-5041.00,Drive machines into position at working faces.,0.0
47-5042.00,"Determine locations, boundaries, and depths of holes or channels to be cut.",0.0
47-5051.00,Locate grain line patterns to determine how rocks will split when cut.,0.0
47-5051.00,"Remove pieces of stone from larger masses, using jackhammers, wedges, and other tools.",0.0
47-5051.00,"Insert wedges and feathers into holes, and drive wedges with sledgehammers to split stone sections from masses.",0.0
47-5051.00,"Mark dimensions or outlines on stone prior to cutting, using rules and chalk lines.",0.0
47-5051.00,Cut slabs of stone into sheets that will be used for floors or counters.,0.0
47-5012.00,"Plug observation wells, and restore sites.",0.0
47-5012.00,"Line drilled holes with pipes, and install all necessary hardware, to prepare new wells.",0.0
49-1011.00,Investigate accidents or injuries and prepare reports of findings.,0.0
47-4071.00,"Clean and repair septic tanks, sewer lines, or related structures such as manholes, culverts, and catch basins.",0.0
47-4071.00,"Start machines to feed revolving cables or rods into openings, stopping machines and changing knives to conform to pipe sizes.",0.0
47-4071.00,"Service, adjust, and make minor repairs to equipment, machines, and attachments.",0.0
47-4071.00,Inspect manholes to locate sewer line stoppages.,0.0
47-4071.00,"Cut damaged sections of pipe with cutters, remove broken sections from ditches, and replace pipe sections, using pipe sleeves.",0.0
47-4091.00,"Prepare base for installation by removing unstable or unsuitable materials, compacting and grading the soil, draining or stabilizing weak or saturated soils and taking measures to prevent water penetration and migration of bedding sand.",0.0
47-4091.00,"Supply and place base materials, edge restraints, bedding sand and jointing sand.",0.0
47-4091.00,Discuss the design with the client.,0.0
47-4091.00,"Set pavers, aligning and spacing them correctly.",0.0
47-4091.00,Sweep sand into the joints and compact pavement until the joints are full.,0.0
47-4099.02,"Test operation or functionality of mechanical, plumbing, electrical, and control systems.",0.0
47-4099.02,"Apply weather seal, such as pipe flashings and sealants, to roof penetrations and structural devices.",0.0
47-4099.02,"Install solar collector mounting devices on tile, asphalt, shingle, or built-up gravel roofs, using appropriate materials and penetration methods.",0.0
47-4099.02,"Install copper or plastic plumbing using pipes, fittings, pipe cutters, acetylene torches, solder, wire brushes, sand cloths, flux, plastic pipe cleaners, or plastic glue.",0.0
47-4061.00,Operate single- or multiple-head spike pullers to pull old spikes from ties.,0.0
47-4061.00,"Weld sections of track together, such as switch points and frogs.",0.0
47-4061.00,Observe leveling indicator arms to verify levelness and alignment of tracks.,0.0
47-4099.02,"Identify plumbing, electrical, environmental, or safety hazards associated with solar thermal installations.",0.0
47-5011.00,"Repair pumps, mud tanks, and related equipment.",0.0
47-5011.00,Set and bolt crown blocks to posts at tops of derricks.,0.0
47-5011.00,Listen to mud pumps and check regularly for vibration and other problems to ensure that rig pumps and drilling mud systems are working properly.,0.0
47-5011.00,Start pumps that circulate mud through drill pipes and boreholes to cool drill bits and flush out drill cuttings.,0.0
47-5011.00,"Position and align derrick elements, using harnesses and platform climbing devices.",0.0
47-4099.03,"Test and diagnose air flow systems, using furnace efficiency analysis equipment.",0.0
47-4099.03,"Inspect buildings to identify required weatherization measures, including repair work, modification, or replacement.",0.0
47-4099.03,Install storm windows or storm doors and verify proper fit.,0.0
47-4099.03,"Maintain activity logs, financial transaction logs, or other records of weatherization work performed.",0.0
47-4099.03,"Prepare or assist in the preparation of bids, contracts, or written reports related to weatherization work.",0.0
49-2092.00,"Reface, ream, and polish commutators and machine parts to specified tolerances, using machine tools.",0.0
49-2093.00,"Install fixtures, outlets, terminal boards, switches, and wall boxes, using hand tools.",0.0
49-2093.00,"Repair or rebuild equipment such as starters, generators, distributors, or door controls, using electrician's tools.",0.0
49-2093.00,Confer with customers to determine the nature of malfunctions.,0.0
49-2093.00,Estimate costs of repairs based on parts and labor requirements.,0.0
49-2094.00,"Test faulty equipment to diagnose malfunctions, using test equipment or software, and applying knowledge of the functional operation of electronic units and systems.",0.0
49-2094.00,"Study blueprints, schematics, manuals, or other specifications to determine installation procedures.",0.0
49-2094.00,"Repair or adjust equipment, machines, or defective components, replacing worn parts, such as gaskets or seals in watertight electrical equipment.",0.0
49-2094.00,"Maintain equipment logs that record performance problems, repairs, calibrations, or tests.",0.0
49-2094.00,"Inspect components of industrial equipment for accurate assembly and installation or for defects, such as loose connections or frayed wires.",0.0
49-2095.00,"Construct, test, maintain, and repair substation relay and control systems.",0.0
49-2095.00,"Inspect and test equipment and circuits to identify malfunctions or defects, using wiring diagrams and testing devices such as ohmmeters, voltmeters, or ammeters.",0.0
49-2095.00,"Consult manuals, schematics, wiring diagrams, and engineering personnel to troubleshoot and solve equipment problems and to determine optimum equipment functioning.",0.0
49-2095.00,Notify facility personnel of equipment shutdowns.,0.0
49-2095.00,"Open and close switches to isolate defective relays, performing adjustments or repairs.",0.0
49-2093.00,"Install electrical equipment such as air-conditioning, heating, or ignition systems and components such as generator brushes and commutators, using hand tools.",0.0
49-2092.00,"Inspect batteries for structural defects such as dented cans, damaged carbon rods and terminals, and defective seals.",0.0
49-2092.00,"Clean cells, cell assemblies, glassware, leads, electrical connections, and battery poles, using scrapers, steam, water, emery cloths, power grinders, or acid.",0.0
49-2092.00,"Scrape and clean units or parts, using cleaning solvents and equipment such as buffing wheels.",0.0
49-2092.00,"Rewind coils on cores in slots, or make replacement coils, using coil-winding machines.",0.0
49-2098.00,"Test backup batteries, keypad programming, sirens, or other security features to ensure proper functioning or to diagnose malfunctions.",0.0
49-2098.00,"Drill holes for wiring in wall studs, joists, ceilings, or floors.",0.0
49-2098.00,"Inspect installation sites and study work orders, building plans, and installation manuals to determine materials requirements and installation procedures.",0.0
49-2098.00,Consult with clients to assess risks and to determine security requirements.,0.0
49-2096.00,"Remove seats, carpeting, and interiors of doors and add sound-absorbing material in empty spaces, reinstalling interior parts.",0.0
49-2096.00,"Splice wires with knives or cutting pliers, and solder connections to fixtures and equipment.",0.0
49-2096.00,"Diagnose or repair problems with electronic equipment, such as sound, navigation, communication, and security equipment, in motor vehicles.",0.0
49-2096.00,Confer with customers to determine the nature of malfunctions.,0.0
49-2096.00,Run new speaker and electrical cables.,0.0
49-2097.00,"Disassemble entertainment equipment and repair or replace loose, worn, or defective components and wiring, using hand tools and soldering irons.",0.0
49-2097.00,"Install, service, and repair electronic equipment or instruments such as televisions, radios, and videocassette recorders.",0.0
49-2097.00,"Calibrate and test equipment, and locate circuit and component faults, using hand and power tools and measuring and testing instruments such as resistance meters and oscilloscopes.",0.0
49-2097.00,Confer with customers to determine the nature of problems or to explain repairs.,0.0
49-2097.00,"Tune or adjust equipment and instruments to obtain optimum visual or auditory reception, according to specifications, manuals, and drawings.",0.0
49-2011.00,"Fill machines with toners, inks, or other duplicating fluids.",0.0
49-2021.00,"Read work orders, blueprints, plans, datasheets or site drawings to determine work to be done.",0.0
49-2021.00,"Inspect completed work to ensure all hardware is tight, antennas are level, hangers are properly fastened, proper support is in place, or adequate weather proofing has been installed.",0.0
49-2021.00,"Bolt equipment into place, using hand or power tools.",0.0
49-2021.00,"Test operation of tower transmission components, using sweep testing tools or software.",0.0
49-2021.00,"Run appropriate power, ground, or coaxial cables.",0.0
49-2021.01,"Repair circuits, wiring, and soldering, using soldering irons and hand tools to install parts and adjust connections.",0.0
49-2021.01,"Test equipment functions such as signal strength and quality, transmission capacity, interference, and signal delay, using equipment such as oscilloscopes, circuit analyzers, frequency meters, and wattmeters.",0.0
49-2021.01,"Install, adjust, and repair stationary and mobile radio transmitting and receiving equipment and two-way radio communication systems.",0.0
49-2021.01,"Examine malfunctioning radio equipment to locate defects such as loose connections, broken wires, or burned-out components, using schematic diagrams and test equipment.",0.0
49-2091.00,Operate computer-aided drafting and design applications to design avionics system modifications.,0.0
49-2022.00,Place intercept circuits on terminals to handle vacant lines in central office installations.,0.0
49-2091.00,"Test and troubleshoot instruments, components, and assemblies, using circuit testers, oscilloscopes, or voltmeters.",0.0
49-2091.00,Keep records of maintenance and repair work.,0.0
49-2091.00,"Adjust, repair, or replace malfunctioning components or assemblies, using hand tools or soldering irons.",0.0
49-2091.00,"Install electrical and electronic components, assemblies, and systems in aircraft, using hand tools, power tools, or soldering irons.",0.0
49-2022.00,"Install telephone station equipment, such as intercommunication systems, transmitters, receivers, relays, and ringers, and related apparatus, such as coin collectors, telephone booths, and switching-key equipment.",0.0
49-2022.00,Provide input into the design and manufacturing of new equipment.,0.0
51-4041.00,Fit and assemble parts to make or repair machine tools.,0.0
51-4052.00,"Turn valves to circulate water through cores, or spray water on filled molds to cool and solidify metal.",0.0
51-4052.00,Add metal to molds to compensate for shrinkage.,0.0
51-4052.00,Pull levers to lift ladle stoppers and to allow molten steel to flow into ingot molds to specified heights.,0.0
51-4052.00,Load specified amounts of metal and flux into furnaces or clay crucibles.,0.0
51-4052.00,"Remove solidified steel or slag from pouring nozzles, using long bars or oxygen burners.",0.0
51-4061.00,"Study blueprints, drawings, and sketches to determine material dimensions, required equipment, and operations sequences.",0.0
51-4061.00,"Inspect and test products to verify conformance to specifications, using precision measuring instruments or circuit testers.",0.0
51-4061.00,"Cut, shape, and form metal parts, using lathes, power saws, snips, power brakes and shears, files, and mallets.",0.0
51-4061.00,"Lay out and mark reference points and dimensions on materials, using measuring instruments and drawing or scribing tools.",0.0
51-4061.00,"Drill, countersink, and ream holes in parts and assemblies for bolts, screws, and other fasteners, using power tools.",0.0
51-4062.00,"Set up and operate machine tools, such as milling machines, lathes, drill presses, and grinders, to machine castings or patterns.",0.0
51-4062.00,"Read and interpret blueprints or drawings of parts to be cast or patterns to be made, compute dimensions, and plan operational sequences.",0.0
51-4062.00,"Verify conformance of patterns or template dimensions to specifications, using measuring instruments such as calipers, scales, and micrometers.",0.0
51-4062.00,Program computerized numerical control machine tools.,0.0
51-4062.00,"Design and create templates, patterns, or coreboxes according to work orders, sample parts, or mockups.",0.0
51-4051.00,"Record production data, and maintain production logs.",0.0
51-4041.00,Dispose of scrap or waste material in accordance with company policies and environmental regulations.,0.0
51-4041.00,"Separate scrap waste and related materials for reuse, recycling, or disposal.",0.0
51-4041.00,Evaluate machining procedures and recommend changes or modifications for improved efficiency or adaptability.,0.0
51-4041.00,"Dismantle machines or equipment, using hand tools or power tools to examine parts for defects and replace defective parts where needed.",0.0
51-4051.00,"Draw smelted metal samples from furnaces or kettles for analysis, and calculate types and amounts of materials needed to ensure that materials meet specifications.",0.0
51-4051.00,"Drain, transfer, or remove molten metal from furnaces, and place it into molds, using hoists, pumps, or ladles.",0.0
51-4051.00,Operate controls to move or discharge metal workpieces from furnaces.,0.0
51-4051.00,"Weigh materials to be charged into furnaces, using scales.",0.0
51-4081.00,"Inspect workpieces for defects, and measure workpieces to determine accuracy of machine operation, using rules, templates, or other measuring instruments.",0.0
51-4072.00,Operate hoists to position dies or patterns on foundry floors.,0.0
51-4072.00,"Smooth and clean inner surfaces of molds, using brushes, scrapers, air hoses, or grinding wheels, and fill imperfections with refractory material.",0.0
51-4072.00,"Obtain and move specified patterns to work stations, manually or using hoists, and secure patterns to machines, using wrenches.",0.0
51-4072.00,Perform maintenance work such as cleaning and oiling machines.,0.0
51-4072.00,"Repair or replace damaged molds, pipes, belts, chains, or other equipment, using hand tools, hand-powered presses, or jib cranes.",0.0
51-4081.00,"Observe machine operation to detect workpiece defects or machine malfunctions, adjusting machines as necessary.",0.0
51-4081.00,Read blueprints or job orders to determine product specifications and tooling instructions and to plan operational sequences.,0.0
51-4081.00,"Start machines and turn handwheels or valves to engage feeding, cooling, and lubricating mechanisms.",0.0
51-4081.00,"Select, install, and adjust alignment of drills, cutters, dies, guides, and holding devices, using templates, measuring instruments, and hand tools.",0.0
51-4071.00,"Clean and smooth molds, cores, and core boxes, and repair surface imperfections.",0.0
51-4071.00,Sprinkle or spray parting agents onto patterns and mold sections to facilitate removal of patterns from molds.,0.0
51-4071.00,"Position cores into lower sections of molds, and reassemble molds for pouring.",0.0
51-4071.00,"Sift and pack sand into mold sections, core boxes, and pattern contours, using hand or pneumatic ramming tools.",0.0
51-4071.00,Tend machines that bond cope and drag together to form completed shell molds.,0.0
51-4111.00,"Visualize and compute dimensions, sizes, shapes, and tolerances of assemblies, based on specifications.",0.0
51-4031.00,"Position, align, and secure workpieces against fixtures or stops on machine beds or on dies.",0.0
51-4031.00,"Load workpieces, plastic material, or chemical solutions into machines.",0.0
51-4031.00,"Adjust ram strokes of presses to specified lengths, using hand tools.",0.0
51-4031.00,Clean and lubricate machines.,0.0
51-4031.00,Mark identifying data on workpieces.,0.0
51-4032.00,"Verify conformance of machined work to specifications, using measuring instruments, such as calipers, micrometers, or fixed or telescoping gauges.",0.0
51-4032.00,"Study machining instructions, job orders, or blueprints to determine dimensional or finish specifications, sequences of operations, setups, or tooling requirements.",0.0
51-4032.00,"Change worn cutting tools, using wrenches.",0.0
51-4032.00,"Select and set cutting speeds, feed rates, depths of cuts, and cutting tools, according to machining instructions or knowledge of metal properties.",0.0
51-4032.00,Install tools in spindles.,0.0
51-4023.00,"Direct and train other workers to change rolls, operate mill equipment, remove coils and cobbles, and band and load material.",0.0
51-4022.00,Position and move metal wires or workpieces through a series of dies that compress and shape stock to form die impressions.,0.0
51-4022.00,"Install, adjust, and remove dies, synchronizing cams, forging hammers, and stop guides, using overhead cranes or other hoisting devices, and hand tools.",0.0
51-4022.00,Trim and compress finished forgings to specified tolerances.,0.0
51-4022.00,"Sharpen cutting tools and drill bits, using bench grinders.",0.0
51-4023.00,"Adjust and correct machine set-ups to reduce thicknesses, reshape products, and eliminate product defects.",0.0
51-4023.00,Monitor machine cycles and mill operation to detect jamming and to ensure that products conform to specifications.,0.0
51-4023.00,"Examine, inspect, and measure raw materials and finished products to verify conformance to specifications.",0.0
51-4023.00,"Read rolling orders, blueprints, and mill schedules to determine setup specifications, work sequences, product dimensions, and installation procedures.",0.0
51-4035.00,"Select and install cutting tools and other accessories according to specifications, using hand tools or power tools.",0.0
51-4034.00,"Position, secure, and align cutting tools in toolholders on machines, using hand tools, and verify their positions with measuring instruments.",0.0
51-4034.00,"Compute unspecified dimensions and machine settings, using knowledge of metal properties and shop mathematics.",0.0
51-4034.00,"Install holding fixtures, cams, gears, and stops to control stock and tool movement, using hand tools, power tools, and measuring instruments.",0.0
51-4034.00,"Move toolholders manually or by turning handwheels, or engage automatic feeding mechanisms to feed tools to and along workpieces.",0.0
51-4034.00,Turn valve handles to direct the flow of coolant onto work areas or to coat disks with spinning compounds.,0.0
51-4035.00,"Remove workpieces from machines, and check to ensure that they conform to specifications, using measuring instruments such as microscopes, gauges, calipers, and micrometers.",0.0
51-4035.00,"Position and secure workpieces on machines, using holding devices, measuring instruments, hand tools, and hoists.",0.0
51-4035.00,"Study blueprints, layouts, sketches, or work orders to assess workpiece specifications and to determine tooling instructions, tools and materials needed, and sequences of operations.",0.0
51-4035.00,"Move controls to set cutting specifications, to position cutting tools and workpieces in relation to each other, and to start machines.",0.0
51-4033.00,"Study blueprints, work orders, or machining instructions to determine product specifications, tool requirements, and operational sequences.",0.0
51-4033.00,"Lift and position workpieces, manually or with hoists, and secure them in hoppers or on machine tables, faceplates, or chucks, using clamps.",0.0
51-4033.00,"Set up, operate, or tend grinding and related tools that remove excess material or burrs from surfaces, sharpen edges or corners, or buff, hone, or polish metal or plastic workpieces.",0.0
51-4033.00,"Observe machine operations to detect any problems, making necessary adjustments to correct problems.",0.0
51-4033.00,"Set and adjust machine controls according to product specifications, using knowledge of machine operation.",0.0
51-4111.00,"Study blueprints, sketches, models, or specifications to plan sequences of operations for fabricating tools, dies, or assemblies.",0.0
51-4111.00,"Inspect finished dies for smoothness, contour conformity, and defects.",0.0
51-4193.00,Spray coating in specified patterns according to instructions.,0.0
51-5111.00,Perform close alignment or registration of double and single flats to sensitized plates prior to exposure to produce composite images.,0.0
51-5111.00,"Inspect developed film for specified results and quality, using magnifying glasses and scopes, forwarding acceptable negatives or positives to other workers or to customers.",0.0
51-5111.00,Punch holes in light-sensitive plates and insert pins in holes to prepare plates for contact with positive or negative film.,0.0
